date,strategy_cumulative,buy_hold_cumulative
2023-06-30,1.0,1.0005669941453137
2023-07-03,1.0,0.9983877056571389
2023-07-05,1.0,0.9974032434756133
2023-07-06,1.0,1.011120596577024
2023-07-07,1.0,1.0086215726154384
2023-07-10,1.0,1.0108201181272936
2023-07-11,1.0,1.022296701118705
2023-07-12,1.0,1.0189178448683565
2023-07-13,1.0,1.0197464173317217
2023-07-14,1.0,1.016310062658599
2023-07-17,1.0,1.0290289395480408
2023-07-18,1.0,1.029358193290727
2023-07-19,1.0,1.0243982449841316
2023-07-20,1.0,1.0225743125647568
2023-07-21,1.0,1.0193470278172965
2023-07-24,1.0,1.0180915814492166
2023-07-25,1.0,1.0233170042703557
2023-07-26,1.0,1.0114164679684259
2023-07-27,1.0,1.0241807825274385
2023-07-28,1.0,1.027931438043731
2023-07-31,1.0,1.0121459190061413
2023-08-01,1.0,1.0113341158080704
2023-08-02,1.0,1.013735100740848
2023-08-03,1.0,1.0183502602115697
2023-08-04,1.0,1.014056160122407
2023-08-07,1.0,1.009772934545309
2023-08-08,1.0,1.0063818968570981
2023-08-09,1.0,1.0061151086117517
2023-08-10,1.0,1.0045211470517104
2023-08-11,1.0,1.0044936042844572
2023-08-14,1.0,1.0042904002610868
2023-08-15,1.0,1.0004405675101027
2023-08-16,1.0,0.9946204381111446
2023-08-17,1.0,0.9940170923100191
2023-08-18,1.0,0.9986402206012543
2023-08-21,1.0,0.9996283288310364
2023-08-22,1.0,1.0107885221638835
2023-08-23,1.0,1.004199708528161
2023-08-24,1.0,1.0016548730233539
2023-08-25,1.0,1.0054974432442463
2023-08-28,1.0,1.015582896767849
2023-08-29,1.0,1.0172468189772863
2023-08-30,1.0,1.0165838685578499
2023-08-31,1.0,1.0172017005939324
2023-09-01,1.0,1.0107076154454668
2023-09-05,1.0,1.010733407359538
2023-09-06,1.0,1.0125004813353102
2023-09-07,1.0,1.0127822747326831
2023-09-08,1.0,1.012805186556781
2023-09-11,1.0,1.0054192385771912
2023-09-12,1.0,1.0030475478235117
2023-09-13,1.0,1.0046566207564653
2023-09-14,1.0,1.012979099970638
2023-09-15,1.0,1.0177908398248117
2023-09-18,1.0,1.020126276155825
2023-09-19,1.0,1.0265681722711593
2023-09-20,1.0,1.011323992068611
2023-09-21,1.0,1.012201376334491
2023-09-22,1.0,1.0085901251145317
2023-09-25,1.0,1.000709858698301
2023-09-26,1.0,0.9887540261437616
2023-09-27,1.0,0.9819404874918807
2023-09-28,1.0,0.9751002541356099
2023-09-29,1.0,0.9637141598513564
2023-10-02,1.0,0.9646266416742125
2023-10-03,1.0,0.9599070056906547
2023-10-04,1.0,0.9614387354283427
2023-10-05,1.0,0.9660260467597178
2023-10-06,1.0,0.9750366487357287
2023-10-09,1.0,0.9828189701811073
2023-10-10,1.0,0.9888131310600112
2023-10-11,1.0,0.9865823056523721
2023-10-12,1.0,1.0177890922882946
2023-10-13,1.0,1.0147047901208677
2023-10-16,1.0,1.0145401895610044
2023-10-17,1.0,1.0325456275184237
2023-10-18,1.0,1.0395171188049435
2023-10-19,1.0,1.045123858480407
2023-10-20,1.0,1.0423254071336827
2023-10-23,1.0,1.0400064612479962
2023-10-24,1.0,1.0442748654987362
2023-10-25,1.0,1.04821530669243
2023-10-26,1.0,1.0503600815473177
2023-10-27,1.0,1.0560315089214374
2023-10-30,1.0,1.048740485695443
2023-10-31,1.0,1.0451173062842023
2023-11-01,1.0,1.0728469929394757
2023-11-02,1.0,1.0514472316685484
2023-11-03,1.0,1.0451043547443388
2023-11-06,1.0,1.0381008788641888
2023-11-07,1.0,1.030147799512435
2023-11-08,1.0,1.03666493314924
2023-11-09,1.0,1.0212336262398067
2023-11-10,1.0,1.02779737325871
2023-11-13,1.0,1.0351482801653122
2023-11-14,1.0,1.0315660374140045
2023-11-15,1.0,1.046665966844573
2023-11-16,1.0,1.0446242669419474
2023-11-17,1.0,1.0447156135969493
2023-11-20,1.0,1.0565150981359912
2023-11-21,1.0,1.0526372670653474
2023-11-22,1.0,1.0583244130548304
2023-11-24,1.0,1.0630224085631161
2023-11-27,1.0,1.078411384708368
2023-11-28,1.0,1.083019702447305
2023-11-29,1.0,1.0771233595283365
2023-11-30,1.0,1.0948050349496843
2023-12-01,1.0,1.0682905091577917
2023-12-04,1.0,1.0678760703482357
2023-12-05,1.0,1.0729214222650674
2023-12-06,1.0,1.0722657296498859
2023-12-07,1.0,1.0564010749308517
2023-12-08,1.0,1.0466128615342531
2023-12-11,1.0,1.04542077746386
2023-12-12,1.0,1.0484594787631807
2023-12-13,1.0,1.072368855419816
2023-12-14,1.0,1.0677070048423918
2023-12-15,1.0,1.0671783761789948
2023-12-18,1.0,1.0744494284043697
2023-12-19,1.0,1.0721408087098956
2023-12-20,1.0,1.0768357905094015
2023-12-21,1.0,1.0845724782100794
2023-12-22,1.0,1.0856836693722645
2023-12-26,1.0,1.0983238135585383
2023-12-27,1.0,1.0952134115621164
2023-12-28,1.0,1.0765155250292608
2023-12-29,1.0,1.089350755187428
2024-01-02,1.0,1.07411661819614
2024-01-03,1.004718705967171,1.0791850586918594
2024-01-04,1.004718705967171,1.0782340206038987
2024-01-05,1.004718705967171,1.069256561900036
2024-01-08,1.004718705967171,1.067346631870718
2024-01-09,1.004718705967171,1.0659019697643308
2024-01-10,1.004718705967171,1.0606526637525053
2024-01-11,1.004718705967171,1.0783688023288531
2024-01-12,1.004718705967171,1.0646778839297375
2024-01-16,1.004718705967171,1.05529709115295
2024-01-17,1.004718705967171,1.0648627910816317
2024-01-18,1.004718705967171,1.0688117862138002
2024-01-19,1.004718705967171,1.0648182863140625
2024-01-22,1.004718705967171,1.0664943444524877
2024-01-23,1.004718705967171,1.06294288613829
2024-01-24,1.004718705967171,1.0629427780036085
2024-01-25,1.004718705967171,1.063510446719166
2024-01-26,1.004718705967171,1.0676213556868284
2024-01-29,1.004718705967171,1.0713522474983654
2024-01-30,1.004718705967171,1.0797009804619313
2024-01-31,1.004718705967171,1.081395135402681
2024-02-01,1.004718705967171,1.0708661692047348
2024-02-02,1.004718705967171,1.066317547122714
2024-02-05,1.004718705967171,1.0722969392886272
2024-02-06,1.004718705967171,1.0722386606695706
2024-02-07,1.004718705967171,1.0699106026016028
2024-02-08,1.004718705967171,1.0648746030099012
2024-02-09,1.004718705967171,1.062564212486338
2024-02-12,1.004718705967171,1.048936801179211
2024-02-13,1.004718705967171,1.0486337525052025
2024-02-14,1.004718705967171,1.0544508078771968
2024-02-15,1.004718705967171,1.0589741649068218
2024-02-16,1.004718705967171,1.0675441898105504
2024-02-20,1.004718705967171,1.062344959450853
2024-02-21,1.004718705967171,1.062379123628321
2024-02-22,1.004718705967171,1.071466066226504
2024-02-23,1.004718705967171,1.0662798285259767
2024-02-26,1.004718705967171,1.0687864764708177
2024-02-27,1.004718705967171,1.0695013685292412
2024-02-28,1.004718705967171,1.0757115672003723
2024-02-29,1.004718705967171,1.097356270965489
2024-03-01,1.004718705967171,1.1126882788762655
2024-03-04,1.004718705967171,1.1218613802048576
2024-03-05,1.004718705967171,1.1303449465474673
2024-03-06,1.004718705967171,1.133493313770794
2024-03-13,1.004718705967171,1.1269779448031911
2024-03-14,1.004718705967171,1.1258332553140207
2024-03-15,1.004718705967171,1.1265651401231507
2024-03-18,1.004718705967171,1.1239279332872787
2024-03-19,1.004718705967171,1.1271887241872391
2024-03-20,1.004718705967171,1.1401539846755746
2024-03-21,1.004718705967171,1.1297938517374453
2024-03-22,1.004718705967171,1.1435569970864483
2024-03-25,1.004718705967171,1.1415663727143455
2024-03-26,1.004718705967171,1.1484463458491685
2024-03-27,1.004718705967171,1.1627684347480767
2024-03-28,1.004718705967171,1.1727814246254558
2024-04-01,1.004718705967171,1.1862673567372362
2024-04-02,1.004718705967171,1.2029339112331703
2024-04-03,1.004718705967171,1.2003290166921565
2024-04-04,1.004718705967171,1.2212093955477712
2024-04-05,1.004718705967171,1.2217052510862547
2024-04-08,1.004718705967171,1.227487002053323
2024-04-09,1.004718705967171,1.2195425994322024
2024-04-10,1.004718705967171,1.2355253628992258
2024-04-11,1.004718705967171,1.2353202133360268
2024-04-12,1.004718705967171,1.244249387939547
2024-04-15,1.004718705967171,1.2558170821597157
2024-04-16,1.004718705967171,1.248193798846528
2024-04-17,1.004718705967171,1.252698034690808
2024-04-18,1.004718705967171,1.260397455770595
2024-04-19,1.004718705967171,1.2232655411752784
2024-04-22,1.004718705967171,1.2209184212127038
2024-04-23,1.004718705967171,1.2177354635128275
2024-04-24,1.004718705967171,1.2213516799056452
2024-04-25,1.004718705967171,1.2234030656385615
2024-04-26,1.004718705967171,1.23043984345302
2024-04-29,1.004718705967171,1.2028139014369985
2024-04-30,1.004718705967171,1.2079599717243752
2024-05-01,1.004718705967171,1.2062618637968239
2024-05-02,1.004718705967171,1.20615552628607
2024-05-03,1.004718705967171,1.2176283635075715
2024-05-06,1.004718705967171,1.215623140673995
2024-05-07,1.004718705967171,1.214740926907816
2024-05-08,1.004718705967171,1.2243720851901394
2024-05-09,1.004718705967171,1.242779304461289
2024-05-10,1.004718705967171,1.2273611563884024
2024-05-13,1.004718705967171,1.2361645419581344
2024-05-14,1.004718705967171,1.25498748156095
2024-05-15,1.004718705967171,1.2486336076478204
2024-05-16,1.004718705967171,1.2665131589026557
2024-05-17,1.004718705967171,1.2753085318992987
2024-05-20,1.004718705967171,1.2691384757781692
2024-05-21,1.004718705967171,1.252133284688368
2024-05-22,1.004718705967171,1.222998085975447
2024-05-23,1.0038756471688384,1.2219718690944417
2024-05-24,1.0038756471688384,1.2317796820478923
2024-05-28,1.0038756471688384,1.2248819854027388
2024-05-29,1.0038756471688384,1.228587475559513
2024-05-30,1.0038756471688384,1.2174465802166032
2024-05-31,1.0038756471688384,1.2317853788357875
2024-06-03,1.0038756471688384,1.2154814485798966
2024-06-04,1.0227770345744704,1.2383670378545844
2024-06-05,1.0227770345744704,1.2431823643863944
2024-06-06,1.0227770345744704,1.210376836781292
2024-06-07,1.0227770345744704,1.2124806779239583
2024-06-10,1.0227770345744704,1.21240751485402
2024-06-11,1.0227770345744704,1.228366509342765
2024-06-12,1.0227770345744704,1.2086370492724368
2024-06-13,1.0227770345744704,1.2248521184198298
2024-06-14,1.0227770345744704,1.2153020703635022
2024-06-17,1.0227770345744704,1.2241508266701768
2024-06-18,1.0227770345744704,1.2351014395493625
2024-06-20,1.0227770345744704,1.2181298811163759
2024-06-21,1.0283008218900884,1.2247087249490256
2024-06-24,1.0283008218900884,1.2161776450045334
2024-06-25,1.0283008218900884,1.2063803687663177
2024-06-26,1.0283008218900884,1.2220794872565124
2024-06-27,1.0283008218900884,1.221865701259641
2024-06-28,1.0283008218900884,1.220592262870126
2024-07-01,1.0283008218900884,1.219258339468539
2024-07-02,1.0283008218900884,1.2391344927966972
2024-07-03,1.0283008218900884,1.254419687528622
2024-07-05,1.0283008218900884,1.236615215665384
2024-07-08,1.0283008218900884,1.2389728752875109
2024-07-09,1.0283008218900884,1.245853008183181
2024-07-10,1.0283008218900884,1.2683752742043195
2024-07-11,1.0283008218900884,1.2681932121973858
2024-07-12,1.0283008218900884,1.2728962108658124
2024-07-15,1.0283008218900884,1.2946903497225684
2024-07-16,1.0283008218900884,1.2897988987315487
2024-07-17,1.0283008218900884,1.288878025274577
2024-07-18,1.0283008218900884,1.2608218751035154
2024-07-19,1.0274855932675206,1.2598223056597657
2024-07-22,1.0274855932675206,1.265566171846886
2024-07-23,1.0274855932675206,1.2706839368467149
2024-07-24,1.0274855932675206,1.2388901373178047
2024-07-25,1.0274855932675206,1.2536114329777923
2024-07-26,1.0274855932675206,1.2520426915305958
2024-07-29,1.0274855932675206,1.266974790823018
2024-07-30,1.0274855932675206,1.2781255715657553
2024-07-31,1.0274855932675206,1.2822780844711887
2024-08-01,1.0274855932675206,1.277778892447097
2024-08-02,1.0274855932675206,1.2650065856802084
2024-08-05,1.0253579514645257,1.2623871028277065
2024-08-06,1.0253579514645257,1.2621087660297443
2024-08-07,1.0253579514645257,1.278959609118128
