date,actual_price,predicted_price
2023-06-30,0.0005669941453136929,-0.00016164253960849033
2023-07-03,-0.0021780535445669047,-6.501487944859556e-05
2023-07-05,-0.0009860519875669604,-1.697592618801241e-05
2023-07-06,0.013753066466487995,0.0006607649938206128
2023-07-07,-0.0024715389737343108,0.0003366022584721369
2023-07-10,0.0021797526163893632,2.392323948603368e-05
2023-07-11,0.011353734245687086,-0.00013724013184661997
2023-07-12,-0.003305162040189491,0.00016108242409563234
2023-07-13,0.0008131886859557014,-0.00020846434482280069
2023-07-14,-0.0033698129404703403,-0.0002176437835242373
2023-07-17,0.012514760363751654,0.0002487662462763583
2023-07-18,0.00031996548399382263,-0.00017943056033746684
2023-07-19,-0.004818486255731003,-0.00018977951364694624
2023-07-20,-0.0017804915503373264,0.0008327564407370514
2023-07-21,-0.003156039329176852,0.0005677760226760741
2023-07-24,-0.0012316182161908884,0.00042452132101777066
2023-07-25,0.005132566574905573,0.00021772273810266867
2023-07-26,-0.011629374135549653,-0.00023694230008378464
2023-07-27,0.012620236038524801,0.0017477481285490522
2023-07-28,0.0036621030000549837,7.895734269002255e-05
2023-07-31,-0.015356587466214044,-0.0001857991944721723
2023-08-01,-0.0008020614249653057,0.0017292872421016117
2023-08-02,0.0023740768705891035,0.0010614551489967314
2023-08-03,0.0045526286574757435,0.00048139403533725483
2023-08-04,-0.00421672214064206,-9.322919249680305e-05
2023-08-07,-0.004223854403271776,0.00040227780377204
2023-08-08,-0.0033582180430868913,0.0007280618721485734
2023-08-09,-0.0002650964272902234,0.0002989295268775992
2023-08-10,-0.0015842735551806486,0.00017115070205056304
2023-08-11,-2.7418802813539145e-05,0.0003445973387771651
2023-08-14,-0.00020229498973767246,0.00011577947257329815
2023-08-15,-0.0038333859907287993,0.0005965427376003273
2023-08-16,-0.0058175663682283885,0.0004098402455272208
2023-08-17,-0.0006066090922798306,0.0009866981322408804
2023-08-18,0.004650954522815498,0.00026753653434488173
2023-08-21,0.0009894536684964539,-0.00014621927325175882
2023-08-22,0.011164342797185256,0.00010390200201879165
2023-08-23,-0.006518488775097309,-0.0003095839042169282
2023-08-24,-0.002534192634388477,0.0009390633683279567
2023-08-25,0.003836221760988634,0.00042743641508359256
2023-08-28,0.01003031245018593,-0.00010238712553231434
2023-08-29,0.0016383913265305416,-0.000206022021562495
2023-08-30,-0.0006517104866475831,0.0001076140076256635
2023-08-31,0.0006077531379276024,0.0005554807631223064
2023-09-01,-0.006384264934549133,8.123030941456495e-05
2023-09-05,2.551866996647334e-05,0.0007597637694765198
2023-09-06,0.0017483086666627567,0.00043822890043827367
2023-09-07,0.00027831433423242125,9.656962765675276e-05
2023-09-08,2.262265510521999e-05,-0.00019506441711894496
2023-09-11,-0.007292565320187294,-0.00012272560589760947
2023-09-12,-0.002358907272388855,0.0008815355126260172
2023-09-13,0.001604184105175488,0.00018701217926226038
2023-09-14,0.008283904213865823,4.725998240926696e-05
2023-09-15,0.004750087987316798,0.0001737086505888812
2023-09-18,0.0022946132344985326,0.00012724189894326187
2023-09-19,0.006314802653265117,0.00012842116510257612
2023-09-20,-0.014849652087715048,0.0006895624144928091
2023-09-21,0.0008675600230598768,0.0019659990717030527
2023-09-22,-0.0035677201240694734,0.00021066860012704824
2023-09-25,-0.007813150476102426,0.000633782458921473
2023-09-26,-0.011947351623068037,0.0017435299249401064
2023-09-27,-0.006891035051917238,0.0014246879674206193
2023-09-28,-0.006966036581038115,0.0009282606325489524
2023-09-29,-0.011676844751052573,0.0007649837968730392
2023-10-02,0.0009468386590862909,0.0014808336966926857
2023-10-03,-0.004892707478373559,0.0008212777432531208
2023-10-04,0.0015957063846887554,0.0010295481056717556
2023-10-05,0.004771298640605881,0.0007795128531984554
2023-10-06,0.0093274938147212,-1.993036026775291e-06
2023-10-09,0.007981568134356243,0.00015991890718952028
2023-10-10,0.006098947070384053,-0.00020759960923550874
2023-10-11,-0.0022560636965324177,-0.00019088889365440992
2023-10-12,0.031631204469339425,0.0007861729570936934
2023-10-13,-0.0030303942052399835,0.00016698824424596215
2023-10-16,-0.00016221521911174985,0.0001548657303831969
2023-10-17,0.017747387577825124,-2.1546778851215452e-05
2023-10-18,0.006751751303499143,0.0005698800516260009
2023-10-19,0.005393600138023036,0.0003033266037102596
2023-10-20,-0.0026776265071521976,0.00030815815269723994
2023-10-23,-0.002224781119039898,0.000864353300197171
2023-10-24,0.004104209358101407,0.00018326999576230734
2023-10-25,0.003773375500914611,0.0007191403530438116
2023-10-26,0.002046120526187911,0.0006110830377573391
2023-10-27,0.005399507724784147,-0.0008432597211537047
2023-10-30,-0.006904172048276203,2.1311732931701346e-05
2023-10-31,-0.0034547912097033784,0.0007514276713855138
2023-11-01,0.026532606903107547,0.0002467681327440471
